X,Y,name,location,cuisine,website,delivery
-5.94229,54.25783,Woodhill Farm Organic,Castlewellan,Farm Shop,https://www.facebook.com/woodhillfarmorganics/,Delivery ✅
-5.94229,54.25783,Woodhill Farm Organics,Castlewellan,Farm Shop,https://www.facebook.com/woodhillfarmorganics/,Delivery ✅
-6.3311,54.99767,Costcutter (Cloughmills),Cloughmills,Groceries,https://www.facebook.com/CloghMills/,Delivery ✅
-6.70245,54.5399,Springisland Supermarket,Coalisland,Groceries,https://www.facebook.com/springisland.supermarket/,Delivery ✅
-6.67611,55.13107,McAtamney's Butchers,Coleraine,Butchers,https://www.facebook.com/McAtamneys/,Delivery ✅
-6.67611,55.13107,Sydney B Scotts,Coleraine,Groceries,https://www.facebook.com/sydneybscott/,Delivery ✅
-5.7489,54.5493,Indie Füde,Comber,Groceries,https://www.facebook.com/indiefude/,Delivery ✅
-5.7489,54.5493,The Farm Shop,Comber,Farm Shop,https://www.facebook.com/thefarmshopcomber/,Delivery ✅
-5.7489,54.5493,Comber Pharmacy,Comber,Pharmacy,https://www.facebook.com/ComberPharmacy/,Delivery ✅
-6.74494,54.64561,McAtamney's Butchers,Cookstown,Butchers,https://www.facebook.com/McAtamneys/,Delivery ✅
-6.382197969,55.09166866,Local Milk,Cregagh,Milk Men,075 31399339,Delivery ✅
-5.76208,54.39687,Glasswater Vegetables,Crossgar,Fruit and Veg,https://www.facebook.com/Gavinsveg/,Delivery ✅
-5.76208,54.39687,Stonebridge Cottage Farm,Crossgar,Farm Shop,https://www.facebook.com/stonebridgecottagefarm/,Delivery ✅
-6.65179,54.34905,Casey's Spar Culloville,Crossmaglen,Groceries,https://www.facebook.com/caseyssparculloville/,Delivery ✅
-6.35432,54.88853,EUROSPAR Cullybackey,Cullybackey,Groceries,https://www.spar-ni.co.uk/store-locator-ni/hen64366-eurospar-cullybackey-2,Delivery ✅
-5.53874,54.64273,Down Wholesale,Donaghadee,Fruit and Veg,https://www.facebook.com/downwholesale/,Delivery ✅
-5.53874,54.64273,Harvest Fayre,Donaghadee,Fruit and Veg,https://www.facebook.com/Harvestfayredonaghadee/,Delivery ✅
-5.53874,54.64273,J Wright,Donaghadee,Butchers,https://www.facebook.com/jwrightbutchers/,Delivery ✅
-5.53874,54.64273,Donaghadee Dairies,Donaghadee,Milk Men,https://www.facebook.com/DONAGHADEEDAIRIES/,Delivery ✅
-5.71608,54.32828,Castlescreen Farm,Downpatrick,Butchers,https://www.facebook.com/castlescreenfarm/,Delivery ✅
-5.71608,54.32828,Connoisseur Vegetables,Downpatrick,Fruit and Veg,https://www.facebook.com/Connoisseurvegetables/,Delivery ✅
-5.71608,54.32828,Eastcoast Seafoods,Downpatrick,Fish,https://www.facebook.com/eastcoastseafoods/,Delivery ✅
