name,directory,cuisine,emoji,location,website,delivery ,type
Stonebridge Cottage Farm,stonebridge-cottage-farm,Farm Shop 🧺,🧺,Crossgar,https://www.facebook.com/stonebridgecottagefarm/,Delivery ✅,farm-shop
Casey's Spar Culloville,caseys-spar-culloville,Groceries 🥫,🥫,Crossmaglen,https://www.facebook.com/caseyssparculloville/,Delivery ✅,groceries
Down Wholesale,down-wholesale,Fruit and Veg 🥦,🥦,Donaghadee,https://www.facebook.com/downwholesale/,Delivery ✅,fruit-and-veg
Harvest Fayre,harvest-fayre,Fruit and Veg 🥦,🥦,Donaghadee,https://www.facebook.com/Harvestfayredonaghadee/,Delivery ✅,fruit-and-veg
Donaghadee Dairies,donaghadee-dairies,Milk🥛,🥛,Donaghadee,https://www.facebook.com/DONAGHADEEDAIRIES/,Delivery ✅,milk
Connoisseur Vegetables,connoisseur-vegetables,Fruit and Veg 🥦,🥦,Downpatrick,https://www.facebook.com/Connoisseurvegetables/,Delivery ✅,fruit-and-veg
Eastcoast Seafoods,eastcoast-seafoods,Fish 🍣, 🍣,Downpatrick,https://www.facebook.com/eastcoastseafoods/,Delivery ✅,fish
Fodder NI,fodder-ni,Farm Shop 🧺,🧺,Downpatrick,https://www.facebook.com/fodderni/,Delivery ✅,farm-shop
Cordners Spar,cordners-spar,Groceries 🥫,🥫,Dundonald,https://www.facebook.com/pages/Cordners-Spar/1463163433931304,Delivery ✅,groceries
Eurospar Dungiven,eurospar-dungiven,Groceries 🥫,🥫,Dungiven,https://www.facebook.com/eurospar.dungiven/,Delivery ✅,groceries
Refill Quarter,refill-quarter,Groceries 🥫,🥫,Ballyhackamore,https://www.facebook.com/refillquarter/,Delivery ✅,groceries
Newtown Coffee House,newtown-coffee-house,Groceries 🥫,🥫,Carryduff,https://www.facebook.com/newtoncoffeehouse/,Delivery ✅,groceries
Kenny's Spar,kennys-spar,Groceries 🥫,🥫,Garvagh,https://www.facebook.com/kennysconveniencestores/,Delivery ✅,groceries
McAtamney's Butchers,mcatamneys-butchers,Butchers 🐮, 🐮,Garvagh,https://www.facebook.com/McAtamneys/,Delivery ✅,butchers
Maginn's Centra Gilford,maginns-centra-gilford,Groceries 🥫,🥫,Gilford,https://www.facebook.com/CentraGilford/,Delivery ✅,groceries
Helen's Bay Organic,helens-bay-organic,Groceries 🥫,🥫,Helen's Bay,https://www.facebook.com/helensbayorganic/,Delivery ✅,groceries
Azora Co-op,azora-co-op,Fruit and Veg 🥦,🥦,Hillsborough,https://www.facebook.com/azoracoop/,Delivery ✅,fruit-and-veg
Carnreagh Cottage Farm,carnreagh-cottage-farm,Farm Shop 🧺,🧺,Hillsborough,https://www.facebook.com/Carnreagh-Cottage-Farm-602099326666003/,Delivery ✅,farm-shop
Alexander’s,alexander’s,Pre Made Meals🍴,🍴,Holywood,https://www.facebook.com/Alexandersholywood/,Delivery ✅,pre-made-meals
Camphill,camphill,Farm Shop 🧺,🧺,Holywood,https://www.facebook.com/CamphillCommunityHolywood/,Delivery ✅,farm-shop
Knotts Bakery,knotts-bakery,Bakery 🍞, 🍞,Holywood,https://www.facebook.com/knottsBakery,Delivery ✅,bakery
Spar,spar,Groceries 🥫,🥫,Killyleagh,https://www.facebook.com/SPARKillyleagh/,Delivery ✅,groceries
Marshall Howe,marshall-howe,Fruit and Veg 🥦,🥦,Limavady,https://www.facebook.com/marshallhowe.greengrocers,Delivery ✅,fruit-and-veg
Ashvale Farm Shop,ashvale-farm-shop,Farm Shop 🧺,🧺,Lisburn,https://www.facebook.com/ashvalefarmshop/,Delivery ✅,farm-shop
Kens Raw Jersey Cow Milk,kens-raw-jersey-cow-milk,Milk🥛,🥛,Lisburn,https://www.facebook.com/kensmilk/,Delivery ✅,milk
Knotts Bakery,knotts-bakery,Bakery 🍞, 🍞,Belfast,https://www.facebook.com/knottsBakery,Delivery ✅,bakery
Moutray's Costcutter,moutrays-costcutter,Groceries 🥫,🥫,Lurgan,https://www.facebook.com/MoutraysCostcutterLurgan/,Delivery ✅,groceries
Lurgan Costcutter,lurgan-costcutter,Groceries 🥫,🥫,Lurgan,https://www.facebook.com/MoutraysCostcutterLurgan/,Delivery ✅,groceries
Dollingstown Costcutter,dollingstown-costcutter,Groceries 🥫,🥫,Lurgan,https://www.facebook.com/MoutraysCostcutterLurgan/,Delivery ✅,groceries
Hendersons North Street,hendersons-north-street,Fruit and Veg 🥦,🥦,Lurgan,https://www.facebook.com/hendersons.northstreet/,Delivery ✅,fruit-and-veg
Eurospar Lurgan,eurospar-lurgan,Groceries 🥫,🥫,Lurgan,https://www.facebook.com/SparLurgan/,Delivery ✅,groceries
Bradleys Centra,bradleys-centra,Groceries 🥫,🥫,Maghera,https://www.facebook.com/bradleyscentra/,Delivery ✅,groceries
McKee's Butchers ,mckees-butchers-,Butchers 🐮, 🐮,Maghera,https://www.facebook.com/mckeespies/,Delivery ✅,butchers
Crawfords Maghera,crawfords-maghera,Groceries 🥫,🥫,Maghera,https://www.facebook.com/crawfords.maghera/,Delivery ✅,groceries
Mourne Manor Organics,mourne-manor-organics,Fruit and Veg 🥦,🥦,Newcastle,https://www.facebook.com/mournemanororganics/,Delivery ✅,fruit-and-veg
Pro-Performance Nutrition,pro-performance-nutrition,Pre Made Meals🍴,🍴,Newry,https://www.facebook.com/propernut/,Delivery ✅,pre-made-meals
Clives Country Corner,clives-country-corner,Fruit and Veg 🥦,🥦,Newtownards,https://www.facebook.com/clivesonline/,Delivery ✅,fruit-and-veg
Knotts Bakery ,knotts-bakery,Bakery 🍞, 🍞,Newtownards,https://www.facebook.com/knottsBakery ,Delivery ✅,bakery
Farm Next Door,farm-next-door,Farm Shop 🧺,🧺,Northern Ireland,https://farmnextdoor.uk/,Delivery ✅,farm-shop
Keenan Seafood,keenan-seafood,Fish 🍣, 🍣,Northern Ireland,https://www.facebook.com/keenanseafoods/,Delivery ✅,fish
Mourne Seafood,mourne-seafood,Fish 🍣, 🍣,Northern Ireland,https://www.facebook.com/mourneFishbox/,Delivery ✅,fish
Oh So Lean,oh-so-lean,Pre Made Meals🍴,🍴,Northern Ireland,https://www.facebook.com/OhSoLean/,Delivery ✅,pre-made-meals
Reubens Gourmet Meals,reubens-gourmet-meals,Pre Made Meals🍴,🍴,Northern Ireland,https://www.facebook.com/Reubenshealthymeals/,Delivery ✅,pre-made-meals
Railway Cottage Farm Shop,railway-cottage-farm-shop,Farm Shop 🧺,🧺,Omagh,https://www.facebook.com/railwaycottagefarmshop/,Delivery ✅,farm-shop
The mini market,the-mini-market,Groceries 🥫,🥫,Eastside,https://www.facebook.com/Orangefield-Mini-Market-1375533009196789/,Delivery ✅,groceries
Chapmans Farm Fresh,chapmans-farm-fresh,Farm Shop 🧺,🧺,Portadown,https://www.facebook.com/Chapmans-Farm-Fresh-412124342265051/,Delivery ✅,farm-shop
Karri Kitchen,karri-kitchen,Pre Made Meals🍴,🍴,Portadown,https://www.facebook.com/karrikitchen/,Delivery ✅,pre-made-meals
Rosemount Cottage Farm Meats,rosemount-cottage-farm-meats,Farm Shop 🧺,🧺,Portadown,https://www.facebook.com/rosemountcottagefarmmeats/,Delivery ✅,farm-shop
Weir's Organic Raw Milk,weirs-organic-raw-milk,Milk🥛,🥛,Portadown,https://www.facebook.com/Weirs-Organic-Raw-Milk-422591707846805/,Delivery ✅,milk
Rices,rices,Pre Made Meals🍴,🍴,Poyntzpass,https://www.facebook.com/rices.poyntzpass/,Delivery ✅,pre-made-meals
O'Malley's Farm Shop,omalleys-farm-shop,Farm Shop 🧺,🧺,Poyntzpass,https://www.facebook.com/omalleysfarmshop/,Delivery ✅,farm-shop
Poyntzpass Pharmacy,poyntzpass-pharmacy,Pharmacy 🚛, 🚛,Poyntzpass,https://www.facebook.com/Poyntzpass-Pharmacy-126660150820450/,Delivery ✅,pharmacy
Trainors Spar,trainors-spar,Groceries 🥫,🥫,Poyntzpass,https://www.facebook.com/SPARPoyntzpass/,Delivery ✅,groceries
Fruitfield Foodhall,fruitfield-foodhall,Groceries 🥫,🥫,Richhill,https://www.facebook.com/fruitfieldfoodhall/,Delivery ✅,groceries
Jacksons of Saintfield,jacksons-of-saintfield,Groceries 🥫,🥫,Saintfield,https://www.facebook.com/jacksonsofsaintfield/,Delivery ✅,groceries
Weir's Organic Raw Milk ,weirs-organic-raw-milk ,Milk🥛,🥛,Tandragee ,https://www.facebook.com/Weirs-Organic-Raw-Milk-422591707846805/,Delivery ✅,milk
J.D. Hunter and Co Supermarket,j-d.-hunter-and-co-supermarket,Groceries 🥫,🥫,Armagh,https://www.facebook.com/hunterssupermarket/,Delivery ✅,groceries
McAnerneys,mcanerneys,Groceries 🥫,🥫,Armagh,https://www.facebook.com/McAnerneys/,Delivery ✅,groceries
Kearney Milk,kearney-milk,Milk🥛,🥛,Armagh,https://www.facebook.com/Kearney-Milk-Delivery-103307577981911/,Delivery ✅,milk
Mash Direct,mash-direct,Potatos 🥔,🥔,Northern Ireland,https://www.facebook.com/MashDirect/,Delivery ✅,potatos 
Krazi Baker,krazi-baker,Bakery 🍞,🍞,Northern Ireland,https://www.facebook.com/krazibaker/,Delivery ✅,bakery
Established,established,Coffee ☕,☕,Belfast,https://www.facebook.com/establishedcoffee/,Delivery ✅,coffee 
Amarc Catering,amarc-catering,Pre Made Meals🍴,🍴,Belfast,https://www.facebook.com/AmarcCatering,Delivery ✅,pre-made-meals
Jumon Belfast,jumon-belfast,Pre Made Meals🍴,🍴,Belfast,https://www.facebook.com/jumonbelfast/,Delivery ✅,pre-made-meals
The Vineyard Belfast,the-vineyard-belfast,Beer 🍺,🍺,Belfast,https://www.facebook.com/thevineyardbelfast/,Delivery ✅,beer 
The Violet Rose Home Bakery,the-violet-rose-home-bakery,Bakery 🍞, 🍞,Belfast,https://facebook.com/TheVioletRoseHomeBakery/,Delivery ✅,bakery
French Village,french-village,Bakery 🍞, 🍞,Belfast,https://www.facebook.com/frenchvillageBakery,Delivery ✅,bakery
Zen,zen,Asian 🏮,🏮,Belfast,https://www.facebook.com/zenbelfast,Delivery ✅,asian 
Yügo Belfast,yugo-belfast,Asian 🏮,🏮,Belfast,https://www.facebook.com/Y%C3%BCgo-Belfast-1198161290243518,Delivery ✅,asian 
World Food Groups,world-food-groups,Groceries 🥫,🥫,Bangor,https://www.facebook.com/worldfoodsgroup/,Delivery ✅,groceries
Wine With Stories,wine-with-stories,Wine 🍷,🍷,Belfast,https://www.facebook.com/Wineswithstories/,Delivery ✅,wine 
Whittens Fruit Shop,whittens-fruit-shop,Fruit and Veg 🥦,🥦,Belfast,https://www.facebook.com/whittensfruitshop/,Delivery ✅,fruit-and-veg
Warke's Deli,warkes-deli,Groceries 🥫,🥫,Portstewart,https://www.facebook.com/warkesdeli/,Delivery ✅,groceries
Walled City Brewery,walled-city-brewery,Beer 🍺,🍺,Derry,https://www.facebook.com/walledcitybrewery/,Delivery ✅,beer 
AJ Fresh Foods ,aj-fresh-foods-,Fruit and Veg 🥦,🥦,Newry,https://www.facebook.com/ajfreshfoods/,Delivery ✅,fruit-and-veg
Alexander's,alexanders,Asian 🏮,🏮,Holywood,https://www.facebook.com/Alexandersholywood/,Delivery ✅,asian 
Azora Coop,azora-coop,Fruit and Veg 🥦,🥦,Hillsborough,https://www.facebook.com/azoracoop/,Delivery ✅,fruit-and-veg
DC Wines,dc-wines,Wine 🍷,🍷,Belfast,https://www.facebook.com/dcwinesboucher,Delivery ✅,wine 
Direct Wine,direct-wine,Wine 🍷,🍷,Belfast,https://www.facebook.com/directwineshipments/,Delivery ✅,wine 
Down Wholesale,down-wholesale,Fruit and Veg 🥦,🥦,Belfast,https://www.facebook.com/downwholesale/,Delivery ✅,fruit-and-veg
Bullhouse Brewing Company,bullhouse-brewing-company,Beer 🍺,🍺,Belfast,https://www.facebook.com/bullhousebeer/,Delivery ✅,beer 
Boundary Brewing,boundary-brewing,Beer 🍺,🍺,Belfast,https://www.facebook.com/boundarybrewingcoop/,Delivery ✅,beer
The Sipster,the-sipster,Beer 🍺,🍺,Belfast,https://thesipster.co.uk,Delivery ✅,beer
Brewdog,brewdog,Beer 🍺,🍺,Northern Ireland,https://www.brewdog.com/uk/shop/fast-track-orders,Delivery ✅,beer
Hatfield House,hatfield-house,Beer 🍺,🍺,Belfast,https://www.facebook.com/The.Hatfield.House,Delivery ✅,beer
