X,Y,name,location,cuisine,website,mainPicture,delivery
-5.66842,54.663,Windmill Dairies,Bangor,Milk Men,https://www.facebook.com/MarkMurphyMilk/,https://scontent.flhr4-2.fna.fbcdn.net/v/t31.0-8/14241446_1241429762595105_6821890931048586356_o.jpg?_nc_cat=103&_nc_sid=85a577&_nc_ohc=c0zDHEQtoa0AX-op4SO&_nc_ht=scontent.flhr4-2.fna&oh=fb1fbf037c17f322a260b46598e4487a&oe=5EA070D7,Delivery ✅
-5.66842,54.663,True Food Café,Bangor,Bakery,https://www.facebook.com/pages/True-Food-Cafe/170906516276991?__tn__=%2CdkC-R-R&eid=ARBoTYyNu8775Hn3ALEHvwp3AQfZB1fxucrbf514Q0o8W4q_oHvCM91MjgLXbuhfW5SPiGpOsUNhW6hc&hc_ref=ART-j40sgVfa26dpyGqjRdK_rfOq9RS5xs-uv0uFDKo7qqeR6dGMedK7PFFpS5cCMhg&fref=tag,https://scontent.flhr4-2.fna.fbcdn.net/v/t1.0-9/s960x960/91001870_10163665498265157_7933101670009929728_o.jpg?_nc_cat=100&_nc_sid=ca434c&_nc_ohc=7z_pLUIvMowAX-yLunf&_nc_ht=scontent.flhr4-2.fna&_nc_tp=7&oh=a51cae8d4217dc3a990976769441fba1&oe=5EA167B3,Delivery ✅
-5.93455,54.59534,Castel Farm Fresh Produce,Belfast,Farm Shop,https://www.facebook.com/Castle-Farm-Fresh-Produce-242196215812519/,https://scontent.flhr4-2.fna.fbcdn.net/v/t1.0-9/285536_242196702479137_1486721_n.jpg?_nc_cat=109&_nc_sid=85a577&_nc_ohc=G5gYV-RiIOkAX8BeYg8&_nc_ht=scontent.flhr4-2.fna&oh=513aa5e24dfc84bfccd31dbdbb760c0b&oe=5EA3421B,Delivery ✅
-5.93455,54.59534,Catering by Anna Hasiuk,Belfast,Pre Made Meals,https://www.facebook.com/cateringannahasiuk/,https://scontent.flhr4-1.fna.fbcdn.net/v/t1.0-9/67093413_2138988669562627_1113146997889564672_n.jpg?_nc_cat=106&_nc_sid=85a577&_nc_ohc=G8LxdvcgwYYAX_T88LV&_nc_ht=scontent.flhr4-1.fna&oh=441653ede94ac9a9d5fe2bf65524b789&oe=5EA187D6,Delivery ✅
-5.93455,54.59534,Cherry Orchard Cafe,Belfast,Bakery,https://www.facebook.com/cherryorchardcoffeeshop/,https://yeooo.delivery/images/service/cherry-orchard.jpg,Delivery ✅
-5.93455,54.59534,Ewings Seafoods,Belfast,Fish,https://www.facebook.com/ewingseafoods/,https://scontent.flhr4-1.fna.fbcdn.net/v/t1.0-9/9536_354355231331856_419155404_n.jpg?_nc_cat=101&_nc_sid=85a577&_nc_ohc=xJPdfYJm5l8AX91yC4Z&_nc_ht=scontent.flhr4-1.fna&oh=92fd4cd4c16c23de1e357011e3480c66&oe=5EA32307,Delivery ✅
-5.93455,54.59534,Framewerk,Belfast,Pre Made Meals,https://www.facebook.com/framewerkbelfast/,https://scontent.flhr4-1.fna.fbcdn.net/v/t1.0-9/90916047_2731493963745947_6510094222190706688_o.jpg?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=svSOcAtqZRcAX_lYQ-b&_nc_ht=scontent.flhr4-1.fna&oh=eac3b8175898e7003864b0a6190a0585&oe=5EA34A1D,Delivery ✅
-5.93455,54.59534,French Village,Belfast,Bakery,https://www.facebook.com/frenchvillagebakery/,https://scontent.flhr4-1.fna.fbcdn.net/v/t1.0-9/90916047_2731493963745947_6510094222190706688_o.jpg?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=svSOcAtqZRcAX_lYQ-b&_nc_ht=scontent.flhr4-1.fna&oh=eac3b8175898e7003864b0a6190a0585&oe=5EA34A1D,Delivery ✅
-5.93455,54.59534,Fruiterama,Belfast,Fruit and Veg,https://www.facebook.com/fruiteramabelfast/,https://scontent.flhr4-1.fna.fbcdn.net/v/t1.0-9/14915353_917016368398485_659524482780205479_n.jpg?_nc_cat=101&_nc_sid=85a577&_nc_ohc=4K8-pNUfrW8AX8dZREk&_nc_ht=scontent.flhr4-1.fna&oh=c74f433cd3e6d9e448c8c705ea3e9eaa&oe=5EA0B592,Delivery ✅
-5.93455,54.59534,Halo Healthy Kitchen,Belfast,Pre Made Meals,https://www.facebook.com/halohealthykitchen/,https://scontent.flhr4-1.fna.fbcdn.net/v/t1.0-9/20526100_121441945156011_2405660569831438021_n.jpg?_nc_cat=101&_nc_sid=85a577&_nc_ohc=_1mGaUm-R_YAX-32IiG&_nc_ht=scontent.flhr4-1.fna&oh=2376e5704842026cb3cbebce99e41d67&oe=5EA35934,Delivery ✅
-5.93455,54.59534,Hugh Carol's Home Cooking,Belfast,Pre Made Meals,https://www.facebook.com/hchomecooking/,https://scontent.flhr4-2.fna.fbcdn.net/v/t1.0-9/82523124_1495402637284885_3035822037458223104_n.jpg?_nc_cat=100&_nc_sid=85a577&_nc_ohc=-HaLp_j2r_wAX_3oL5i&_nc_ht=scontent.flhr4-2.fna&oh=2cccfa1ea1cab3694f451f151dbab939&oe=5EA103EE,Delivery ✅
-5.93455,54.59534,Michels,Belfast,Fruit and Veg,https://www.facebook.com/Michels-Fresh-Fruit-and-Vegetables-114930325220883/,https://scontent.flhr4-2.fna.fbcdn.net/v/t1.0-9/14095866_1086489831398256_8423559700409277861_n.jpg?_nc_cat=110&_nc_sid=85a577&_nc_ohc=g5YUVb1GHrsAX97KkEs&_nc_ht=scontent.flhr4-2.fna&oh=aa6b8ce31c81a956f05704a57e711976&oe=5EA2A1F9,Delivery ✅
-5.93455,54.59534,Mikes Fancy Cheese,Belfast,Groceries,https://www.facebook.com/mfcheese/,https://scontent.flhr4-1.fna.fbcdn.net/v/t31.0-8/12828532_1025918130811879_2929598709897860387_o.jpg?_nc_cat=107&_nc_sid=85a577&_nc_ohc=qobaQSg5wGsAX-Y7hq8&_nc_ht=scontent.flhr4-1.fna&oh=e5d496836db2057aab413ec470f81d48&oe=5EA1D6BC,Delivery ✅
-5.93455,54.59534,Mockford Milk,Belfast,Milk Men,https://mockfordmilk.co.uk/,https://mockfordmilk.co.uk/wp-content/uploads/mockford-milk-new-logo.png,Delivery ✅
-5.93455,54.59534,Sawerss Belfast,Belfast,Groceries,https://www.facebook.com/sawers.belfast/,https://scontent.flhr4-1.fna.fbcdn.net/v/t31.0-8/17434513_1459611800729939_2183295666109092222_o.jpg?_nc_cat=107&_nc_sid=85a577&_nc_ohc=e4cMQawcwuwAX-kvOH3&_nc_ht=scontent.flhr4-1.fna&oh=d5ffbdba4174f87e8abf992e9bb20250&oe=5EA2337E,Delivery ✅
-5.93455,54.59534,The Morning Star,Belfast,Pre Made Meals,https://www.facebook.com/themorningstarbar/,https://scontent.flhr4-2.fna.fbcdn.net/v/t1.0-9/42044853_1872597972775640_2538311850731241472_n.jpg?_nc_cat=111&_nc_sid=85a577&_nc_ohc=y1xc-zM5ZVQAX-xZckv&_nc_ht=scontent.flhr4-2.fna&oh=5ee1484cf81f95687882a1d6494c363e&oe=5EA24523,Delivery ✅
-5.93455,54.59534,Two Sisters,Belfast,Groceries,https://www.facebook.com/TwoSistersNI/,https://scontent.flhr4-2.fna.fbcdn.net/v/t1.0-9/78261457_119737556158558_2828123389028204544_n.jpg?_nc_cat=102&_nc_sid=85a577&_nc_ohc=mVUl5vEyOkwAX9MkjrW&_nc_ht=scontent.flhr4-2.fna&oh=bb07cb57498c4d8ae2e00effc17dd2da&oe=5EA25906,Delivery ✅
-5.93455,54.59534,Whitten's,belfast,Fruit and Veg,https://www.facebook.com/whittensfruitshop/,https://scontent.flhr4-2.fna.fbcdn.net/v/t31.0-8/23736048_526490677711161_7770006078654254512_o.jpg?_nc_cat=103&_nc_sid=85a577&_nc_ohc=1dBCqp3VbGMAX_KIvbI&_nc_ht=scontent.flhr4-2.fna&oh=1227eb53018bdddd6a16e6dec935cb1b&oe=5EA33AE6,Delivery ✅
-5.842006923,54.60674242,Piper Fruit & Veg,"Belmont Road, Belfast",Fruit and Veg,https://www.yelp.co.uk/biz/m-piper-belfast,https://s3-media0.fl.yelpcdn.com/bphoto/scK7KlF0Iqjbhc3XT1e1PA/o.jpg,Delivery ✅
-5.90065359,54.45239109,Hilltop Dairy Farm,Carryduff,Groceries,https://www.facebook.com/hilltopdairyfarm/,https://scontent.flhr4-1.fna.fbcdn.net/v/t1.0-9/30742452_297413380791779_2470964418317793690_n.jpg?_nc_cat=104&_nc_sid=85a577&_nc_ohc=cb3HYFraiZQAX_rNwX9&_nc_ht=scontent.flhr4-1.fna&oh=e1b16a0011d97194d09add4b3e86cc1f&oe=5E9FBFEF,Delivery ✅
-5.94229,54.25783,Woodhill Farm Organic,Castlewellan,Farm Shop,https://www.facebook.com/woodhillfarmorganics/,https://scontent.flhr4-2.fna.fbcdn.net/v/t1.0-9/34645973_2134524793502372_6381383595746918400_o.jpg?_nc_cat=102&_nc_sid=85a577&_nc_ohc=nuzUnvrlFsIAX-SHUoj&_nc_ht=scontent.flhr4-2.fna&oh=f88b7383b1c4d46eb62ab1858e26c503&oe=5E9FC2E1,Delivery ✅
-5.94229,54.25783,Woodhill Farm Organics,Castlewellan,Farm Shop,https://www.facebook.com/woodhillfarmorganics/,https://scontent.flhr4-2.fna.fbcdn.net/v/t1.0-9/34645973_2134524793502372_6381383595746918400_o.jpg?_nc_cat=102&_nc_sid=85a577&_nc_ohc=nuzUnvrlFsIAX-SHUoj&_nc_ht=scontent.flhr4-2.fna&oh=f88b7383b1c4d46eb62ab1858e26c503&oe=5E9FC2E1,Delivery ✅
-6.3311,54.99767,Costcutter (Cloughmills),Cloughmills,Groceries,https://www.facebook.com/CloghMills/,https://scontent.flhr4-2.fna.fbcdn.net/v/t31.0-8/14889821_660964624084232_5960070117816313100_o.jpg?_nc_cat=111&_nc_sid=85a577&_nc_ohc=LDBNPAprW4QAX9aKGgj&_nc_ht=scontent.flhr4-2.fna&oh=fa90da8627f586575e3bbf687ff38b4b&oe=5EA1A772,Delivery ✅
-6.70245,54.5399,Springisland Supermarket,Coalisland,Groceries,https://www.facebook.com/springisland.supermarket/,https://scontent.flhr4-2.fna.fbcdn.net/v/t31.0-8/14889821_660964624084232_5960070117816313100_o.jpg?_nc_cat=111&_nc_sid=85a577&_nc_ohc=LDBNPAprW4QAX9aKGgj&_nc_ht=scontent.flhr4-2.fna&oh=fa90da8627f586575e3bbf687ff38b4b&oe=5EA1A772,Delivery ✅
-6.67611,55.13107,Sydney B Scotts,Coleraine,Groceries,https://www.facebook.com/sydneybscott/,https://scontent.flhr4-1.fna.fbcdn.net/v/t1.0-9/13417422_1240242375988515_8765624045416810228_n.jpg?_nc_cat=108&_nc_sid=85a577&_nc_ohc=69GeVhrM9ywAX_pqP7z&_nc_ht=scontent.flhr4-1.fna&oh=7f77d0993bd0f48a9681f86626938f07&oe=5EA36F1B,Delivery ✅
-5.7489,54.5493,Indie Füde,Comber,Groceries,https://www.facebook.com/indiefude/,https://scontent.flhr4-2.fna.fbcdn.net/v/t31.0-8/12469523_642948775846977_1017311069184045588_o.jpg?_nc_cat=100&_nc_sid=85a577&_nc_ohc=dJ-BHKHkmiYAX8CoynD&_nc_ht=scontent.flhr4-2.fna&oh=0502197154a110ee055a2e8490197d14&oe=5EA34088,Delivery ✅
-5.7489,54.5493,The Farm Shop,Comber,Farm Shop,https://www.facebook.com/thefarmshopcomber/,https://scontent.flhr4-2.fna.fbcdn.net/v/t1.0-9/39950158_2048686255142494_3795215097689800704_n.jpg?_nc_cat=110&_nc_sid=85a577&_nc_ohc=KKfoOWvrYlUAX8K95I_&_nc_ht=scontent.flhr4-2.fna&oh=c4e6fa97fb27b9b77d4fdb08b0021a97&oe=5EA20126,Delivery ✅
-5.7489,54.5493,Comber Pharmacy,Comber,Pharmacy,https://www.facebook.com/ComberPharmacy/,https://scontent.flhr4-2.fna.fbcdn.net/v/t1.0-9/13522006_559796894200713_7714503523907899764_n.png?_nc_cat=103&_nc_sid=85a577&_nc_ohc=xSWs5y3jiWQAX950SYi&_nc_ht=scontent.flhr4-2.fna&oh=58ca1ddac973cdad3331064b345de243&oe=5E9FEE8A,Delivery ✅
-5.76208,54.39687,Glasswater Vegetables,Crossgar,Fruit and Veg,https://www.facebook.com/Gavinsveg/,https://scontent.flhr4-2.fna.fbcdn.net/v/t1.0-9/89588390_105885784379682_1344777676539297792_o.jpg?_nc_cat=110&_nc_sid=85a577&_nc_ohc=R_UpQKSXqQ8AX-CuWTa&_nc_ht=scontent.flhr4-2.fna&oh=0251358013e8894b33d9916d44b0c710&oe=5EA07242,Delivery ✅
-5.76208,54.39687,Stonebridge Cottage Farm,Crossgar,Farm Shop,https://www.facebook.com/stonebridgecottagefarm/,https://scontent.flhr4-1.fna.fbcdn.net/v/t1.0-9/35298063_1286484098121547_6100466891770298368_n.jpg?_nc_cat=101&_nc_sid=85a577&_nc_ohc=a4ZnUSJNpUMAX9OFWJQ&_nc_ht=scontent.flhr4-1.fna&oh=f06f07cd2cca9b5169748c0c074575f9&oe=5EA10353,Delivery ✅
-6.65179,54.34905,Casey's Spar Culloville,Crossmaglen,Groceries,https://www.facebook.com/caseyssparculloville/,https://scontent.flhr4-2.fna.fbcdn.net/v/t1.0-9/71220320_2685942444757377_1623623029458206720_n.png?_nc_cat=103&_nc_sid=85a577&_nc_ohc=s89Q2Hd4W90AX_9vmum&_nc_ht=scontent.flhr4-2.fna&oh=fbb07a3659c6fe784d88fde557705d26&oe=5EA18861,Delivery ✅
-6.35432,54.88853,EUROSPAR Cullybackey,Cullybackey,Groceries,https://www.spar-ni.co.uk/store-locator-ni/hen64366-eurospar-cullybackey-2,https://www.spar-ni.co.uk/img/logo-box.svg,Delivery ✅
-5.53874,54.64273,Down Wholesale,Donaghadee,Fruit and Veg,https://www.facebook.com/downwholesale/,https://scontent.flhr4-1.fna.fbcdn.net/v/t1.0-9/90647794_104192851223083_28573554131861504_o.jpg?_nc_cat=107&_nc_sid=85a577&_nc_ohc=an4Zzzj63TcAX-ta-AF&_nc_ht=scontent.flhr4-1.fna&oh=fc13cd9fabfe6e85a22fa4adcdff3da8&oe=5EA2390A,Delivery ✅
-5.53874,54.64273,Harvest Fayre,Donaghadee,Fruit and Veg,https://www.facebook.com/Harvestfayredonaghadee/,https://scontent.flhr4-1.fna.fbcdn.net/v/t1.0-9/62371337_2276381129110425_3785532909964754944_n.jpg?_nc_cat=108&_nc_sid=85a577&_nc_ohc=-ftkQ4fleE0AX98Xz2T&_nc_ht=scontent.flhr4-1.fna&oh=485cce59d7ab911f2b846c5781183a94&oe=5E9FFE94,Delivery ✅
